2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:08.4083–TRACE–2023/11/15 17:28:08:4083| 0| COM88| R | CommandID     58| FA010401020D0A
2023-11-15 17:28:08.4083–TRACE–2023/11/15 17:28:08:4113| 0| COM88| S | CommandID     59| FA52020001
2023-11-15 17:28:08.4379–TRACE–2023/11/15 17:28:08:4378| 0| COM88| R | CommandID     59| FA020401020D0A
2023-11-15 17:28:08.4379–TRACE–2023/11/15 17:28:08:4420| 0| COM88| S | CommandID     60| FA52030001
2023-11-15 17:28:08.4736–TRACE–2023/11/15 17:28:08:4736| 0| COM88| R | CommandID     60| FA030401020D0A
2023-11-15 17:28:08.4736–TRACE–2023/11/15 17:28:08:4776| 0| COM88| S | CommandID     61| FA52010401
2023-11-15 17:28:08.5081–TRACE–2023/11/15 17:28:08:5081| 0| COM88| R | CommandID     61| FA010A0101020304050607080D0A
2023-11-15 17:28:08.5248–TRACE–2023/11/15 17:28:08:5248| 0| COM88| S | CommandID     62| FA52020401
2023-11-15 17:28:08.5581–TRACE–2023/11/15 17:28:08:5581| 0| COM88| R | CommandID     62| FA020A0101020304050607080D0A
2023-11-15 17:28:08.5632–TRACE–2023/11/15 17:28:08:5632| 0| COM88| S | CommandID     63| FA52030401
2023-11-15 17:28:08.5788–TRACE–2023/11/15 17:28:08:5787| 0| COM88| R | CommandID     63| FA030A0101020304050607080D0A
2023-11-15 17:28:08.5788–TRACE–2023/11/15 17:28:08:5823| 0| COM88| S | CommandID     64| FA52010101
2023-11-15 17:28:08.6091–TRACE–2023/11/15 17:28:08:6091| 0| COM88| R | CommandID     64| FA0103640D0A
2023-11-15 17:28:08.6091–TRACE–2023/11/15 17:28:08:6130| 0| COM88| S | CommandID     65| FA52020101
2023-11-15 17:28:08.6400–TRACE–2023/11/15 17:28:08:6400| 0| COM88| R | CommandID     65| FA0203640D0A
2023-11-15 17:28:08.6400–TRACE–2023/11/15 17:28:08:6534| 0| COM88| S | CommandID     66| FA52030101
2023-11-15 17:28:08.6751–TRACE–2023/11/15 17:28:08:6751| 0| COM88| R | CommandID     66| FA0303640D0A
2023-11-15 17:28:08.6751–TRACE–2023/11/15 17:28:08:6795| 0| COM88| S | CommandID     67| FA52010402
2023-11-15 17:28:08.7093–TRACE–2023/11/15 17:28:08:7092| 0| COM88| R | CommandID     67| FA010400890D0A
