*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:54:29:3417,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:29:4970,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:29:6314,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:30:6656,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:30:8112,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:30:9401,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:32:4712,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:32:6017,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:32:7466,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:33:7981,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:33:9494,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:34:0885,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:35:6739,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:35:7976,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:35:9542,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:36:8569,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:36:9944,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:37:1071,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:38:7900,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:38:9143,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:39:0284,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:39:9241,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:40:0479,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:40:1735,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:41:9657,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:42:0891,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:42:2135,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:43:1211,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:43:2448,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:43:3695,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:45:1722,,,,NULL,FA 52 01 04 01,
